INFO 2023-08-30 08:34:04,737 autoreload 21240 20120 Watching for file changes with StatReloader
WARNING 2023-08-30 15:24:11,581 log 12136 24092 Not Found: /js/jquery.flexslider.js
WARNING 2023-08-30 15:24:11,582 basehttp 12136 24092 "GET /js/jquery.flexslider.js HTTP/1.1" 404 2995
INFO 2023-08-30 15:24:22,617 views 12136 24092 Index page accessed
INFO 2023-08-30 15:24:22,623 basehttp 12136 24092 "GET / HTTP/1.1" 200 28095
INFO 2023-08-30 15:24:22,664 basehttp 12136 24092 "GET /static/js/script.js HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,664 basehttp 12136 19880 "GET /static/js/jquery.easydropdown.js HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,679 basehttp 12136 22560 "GET /static/images/entrance.png HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,679 basehttp 12136 15904 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,680 basehttp 12136 19880 "GET /static/megamenu/js/megamenu.js HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,680 basehttp 12136 21172 "GET /static/images/1963.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,680 basehttp 12136 24092 "GET /static/js/main.js HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,680 basehttp 12136 5856 "GET /static/images/basket.png HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,691 basehttp 12136 24092 "GET /static/images/packaging.png HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,692 basehttp 12136 22560 "GET /static/images/1.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,692 basehttp 12136 21172 "GET /static/images/assortment.png HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,693 basehttp 12136 15904 "GET /static/images/2.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,694 basehttp 12136 5856 "GET /static/images/material.png HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,695 basehttp 12136 19880 "GET /static/images/3.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,705 basehttp 12136 19880 "GET /static/images/7.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,706 basehttp 12136 22560 "GET /static/images/8.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,706 basehttp 12136 21172 "GET /static/images/9.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,706 basehttp 12136 15904 "GET /static/images/4.jpg HTTP/1.1" 304 0
INFO 2023-08-30 15:24:22,706 basehttp 12136 24092 "GET /static/images/6.jpg HTTP/1.1" 304 0
